Reject	Accept
HSF1	0.842	0.876
HSF2	0.375	0
TBX21	0.22	0.056
TBX20	0.543	0.469
ISL2	0	0
CDX2	0.785	0.744
NKX2-8	0	0
MAFK	0.958	0.966
NKX2-2	0	0
MAFB	0	0
NKX2-1	0.532	0.42
MAFF	0.369	0
NKX2-5	0.171	0
RARA	0.492	0.436
GLI2	0	0
LHX2	0.471	0.324
LHX3	0	0
LHX4	0.001	0
LHX5	0	0
RARG	0.48	0.336
BHLHE40	0.011	0
NFE2L2	0.34	0
RBPJ	0.295	0
SIX2	0.436	0.206
HNF1A	0.32	0
TAL1	0.425	0
RELA	0.735	0.751
MYB	0.807	0.833
NFE2	0.216	0
FOXQ1	0.035	0
ETS2	0.018	0
NFIC	0.362	0
SP1	0.077	0
CREB3	0.001	0
KLF4	0.062	0
CREB1	0.219	0
NR2C2	0.515	0.295
GATA6	0.609	0.507
GATA4	0.398	0.196
GATA2	0.726	0.732
GATA3	0.819	0.846
NKX6-1	0	0
NFAT5	0.641	0.635
BARHL1	0.328	0.102
RFX5	0.688	0.683
MAX	0.884	0.918
NFKB	0.752	0.711
RFX1	0.679	0.673
RFX2	0.66	0.66
RUNX2	0.766	0.748
RUNX3	0.269	0.081
FOXA2	0.486	0.265
ELK4	0.008	0
TCF12	0.18	0
CTCF	0.975	0.983
HOXC9	0.083	0
NFATC1	0.34	0.145
DMRT2	0	0
VDR	0.592	0.581
FOXA1	0.772	0.794
FOXK1	0.005	0
NR3C2	0.136	0
HESX1	0.002	0
DUX4	0.528	0.381
CRX	0.363	0
GLIS1	0.037	0
ERG	0.421	0.272
TCF7	0.394	0.052
HIF1A	0.12	0
TCF7L2	0.81	0.84
E2F8	0.012	0
ZBTB7A	0.473	0.345
RUNX1	0.826	0.817
AHR	0	0
RFX7	0	0
EGR2	0.62	0.533
BACH2	0.17	0
BACH1	0.154	0
EGR1	0.433	0.238
HOXA5	0	0
MEIS1	0.629	0.639
SOX17	0.752	0.762
MEOX2	0.718	0.746
ELK1	0.622	0.58
NR5A2	0	0
TFE3	0	0
ZBTB33	0	0
MAFG	0.444	0.136
FOXJ2	0.077	0.003
TCF3	0.281	0
TP63	0.749	0.801
HOXB2	0	0
MAF	0.24	0
ZNF143	0.857	0.874
HOXB4	0.034	0
HOXB5	0	0
PAX5	0.931	0.941
CUX1	0.659	0.636
PAX7	0.476	0.307
PAX6	0	0
PAX3	0.79	0.797
PPARA	0.4	0
NANOG	0.144	0
ZEB1	0.665	0.64
NR3C1	0.648	0.648
IRF2	0.192	0
IRF1	0.509	0.318
TP53	0.897	0.927
LHX6	0	0
IRF4	0.485	0.313
PTF1A	0.095	0
IRF9	0.008	0
IRF8	0.206	0
HNF4A	0.866	0.89
HOXC13	0.407	0.221
HOXD11	0	0
PRDM4	0	0
MEF2A	0.597	0.517
PRDM1	0.118	0
MEF2D	0.506	0.407
HES1	0.016	0
CREB	0.062	0
FOXC1	0.008	0
ZNF384	0	0
YY1	0.746	0.747
FOXP3	0	0
SMAD4	0.324	0
SMAD3	0.381	0.198
FOXP1	0	0
FOXM1	0	0
RORA	0.076	0
REL	0.428	0.068
TBX5	0.553	0.483
CBX5	0	0
NR2F2	0.268	0
IKZF1	0.372	0
IKZF3	0.148	0
STAT6	0.142	0
SPI1	0.206	0
STAT3	0.087	0
HINFP	0.622	0.623
STAT1	0.575	0.521
NR2F6	0.311	0
HOXA13	0.647	0.622
HOXA11	0.372	0
HOXA10	0	0
USF1	0.412	0.24
ATOH1	0	0
PBX1	0.428	0.115
E2F7	0.63	0.588
SRF	0.725	0.727
ESRRB	0.039	0
DLX6	0	0
ASCL2	0	0
RXRG	0.689	0.646
FOXD2	0	0
RXRA	0.879	0.895
BARX1	0.022	0
BBX	0	0
GMEB2	0.508	0.4
MIXL1	0	0
OLIG2	0.634	0.604
MYC	0.539	0.329
E2F2	0.465	0.338
NEUROD2	0.169	0
MTF1	0.444	0.167
LMO2	0.586	0.516
ESR1	0.953	0.964
NFYA	0.653	0.654
TP73	0.623	0.57
SREBF2	0	0
STAT5A	0.582	0.493
SREBF1	0.296	0.011
NKX3-1	0.57	0.515
TBP	0.615	0.531
GABPA	0.432	0.256
NRF1	0.726	0.748
ZFX	0.578	0.428
SPDEF	0.379	0.065
FOXG1	0.109	0
FOXO3	0.006	0
SOX2	0.755	0.771
FOXO1	0.624	0.602
SOX9	0.242	0.113
HAND1	0.282	0
FOXO4	0.08	0
MYBL1	0.075	0
SOX3	0.534	0.458
MYBL2	0.054	0
TEAD4	0.747	0.785
CEBPB	0.774	0.861
CEBPA	0.601	0.532
CEBPG	0	0
GRHL1	0.721	0.693
MZF1	0.039	0
CEBPD	0.249	0
TFAP2A	0.881	0.899
TFAP2C	0.848	0.901
EOMES	0.622	0.597
ETS1	0.635	0.578
POU3F2	0.889	0.884
CDC5L	0	0
ESRRA	0.744	0.742
ZBTB7B	0.17	0
NR4A2	0	0
FLI1	0.736	0.727
PPARG	0.749	0.765
REST	0.828	0.85
HOXD1	0	0
ELF1	0.367	0
AR	0.852	0.867
POU5F1	0.8	0.83
EBF1	0.817	0.82
GFI1B	0.588	0.493
HOXB13	0.553	0.468
ARID3A	0	0
NFIB	0.34	0
E2F4	0.629	0.547
E2F3	0.125	0
GFI1	0.603	0.517
E2F1	0.505	0.296
ATF1	0.066	0
GATA1	0.741	0.759
HBP1	0.05	0
TFCP2	0.721	0.732
ATF4	0	0
ATF2	0.28	0.027
POU2F2	0.764	0.754
ATF3	0.354	0
POU2F1	0.338	0.188
