AP-2alpha	TFAP2A
AP-2gamma	TFAP2C
ATF3	ATF3
BAF155	SMARCC1
BAF170	SMARCC2
BATF	BATF
BCL11A	BCL11A
BCL3	BCL3
BCLAF1	BCLAF1
BDP1	BDP1
BHLHE40	BHLHE40
BRCA1	BRCA1
BRF1	BRF1
BRF2	BRF2
Brg1	SMARCA4
CCNT2	CCNT2
CEBPB	CEBPB
CHD2	CHD2
CTCF	CTCF
CTCFL	CTCFL
CtBP2	CTBP2
E2F1	E2F1
E2F4	E2F4
E2F6	E2F6
EBF	EBF1
EBF1	EBF1
ELF1	ELF1
ELK4	ELK4
ERRA	ESRRA
ERalpha-a	ESR1
ETS1	ETS1
Egr-1	EGR1
FOXA1	FOXA1
FOXA2	FOXA2
Fos	AP1
FosL1	FOSL1
FosL2	FOSL2
GABP	GABPA
GATA1	GATA1
GATA2	GATA2
GATA3	GATA3
GCN5	KAT2A
GR	NR3C1
GTF2B	GTF2B
GTF2F1	GTF2F1
HA-E2F1	E2F1
HDAC2	HDAC2
HDAC8	HDAC8
HEY1	HEY1
HMGN3	HMGN3
HNF4A	HNF4A
HNF4G	HNF4G
HSF1	HSF1
IRF1	IRF1
IRF3	IRF3
IRF4	IRF4
Ini1	SMARCB1
Jun	AP1
JunB	AP1
JunD	AP1
cJun	AP1
KAP1	TRIM28
MEF2A	MEF2A
MEF2C	MEF2C
MafF	MAFF
MafK	MAFK
Max	MAX
Mxi1	MXI1
Myc	MYC
NANOG	NANOG
NELFe	RDBP
NF-E2	NFE2
NF-YA	NFYA
NF-YB	NFYB
NFKB	NFKB1
NR4A1	NR4A1
NRSF	REST
Nrf1	NRF1
PAX5	PAX5
PGC1A	PPARGC1A
POU2F2	POU2F2
POU5F1	POU5F1
PRDM1	PRDM1
PU.1	SPI1
Pbx3	PBX3
RFX5	RFX5
RPC155	POLR3A
RXRA	RXRA
Rad21	RAD21
SETDB1	SETDB1
SIRT6	SIRT6
SIX5	SIX5
SMC3	SMC3
SP1	SP1
SP2	SP2
SPT20	FAM48A
SREBP1	SREBF1
SREBP2	SREBF2
SRF	SRF
STAT1	STAT1
STAT2	STAT2
STAT3	STAT3
SUZ12	SUZ12
Sin3Ak-20	SIN3A
TAF1	TAF1
TAF7	TAF7
TAL1	TAL1
TBP	TBP
TCF12	TCF12
TCF4	TCF7L2
TFIIIC-110	GTF3C2
THAP1	THAP1
TR4	NR2C2
USF1	USF1
USF2	USF2
WHIP	WRNIP1
XRCC4	XRCC4
YY1	YY1
ZBTB33	ZBTB33
ZBTB7A	ZBTB7A
ZEB1	ZEB1
ZNF263	ZNF263
ZNF274	ZNF274
ZZZ3	ZZZ3
Znf143	ZNF143
p300	EP300
